2027 GKS-U Available Departments,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14,__EMPTY_15,__EMPTY_16,Source_File,Sheet_Name,2027 GKS-Korea University Available Departments for Undergraduate Degrees,__EMPTY_17
43,국민대학교,Kookmin University,Embassy Track,A,Seoul,미술학부,School of Fine Art,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://english.kookmin.ac.kr/academics/undergraduates/arts,+82-2-910-4465,"-전공: 회화, 입체미술
-Major: Painting, Sculpture",available departments (21).xlsx,Kookmin University,,
44,국민대학교,Kookmin University,Embassy Track,A,Seoul,공연예술학부,School of Performing Art,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://english.kookmin.ac.kr/academics/undergraduates/arts,+82-2-910-4466,"-전공: 연극, 영화, 무용(발레, 한국무용, 현대무용)
-Major: Theatre, Cinema, Dance(Ballet, Korean Dance, Modern Dance)",available departments (21).xlsx,Kookmin University,,
45,국민대학교,Kookmin University,Embassy Track,A,Seoul,스포츠교육학과,Department of Sports Education,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://english.kookmin.ac.kr/academics/undergraduates/physical,+82-2-910-6651,,available departments (21).xlsx,Kookmin University,,
46,국민대학교,Kookmin University,Embassy Track,A,Seoul,스포츠산업레저학과,Department of Sports Industry & Leisure,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://english.kookmin.ac.kr/academics/undergraduates/physical,+82-2-910-6652,,available departments (21).xlsx,Kookmin University,,
47,국민대학교,Kookmin University,Embassy Track,A,Seoul,스포츠건강재활학과,Department of Sports Health & Rehabilitation,예체능,Arts & Sports,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://english.kookmin.ac.kr/academics/undergraduates/physical,+82-2-910-6653,,available departments (21).xlsx,Kookmin University,,
,대학명,"University
(대학알리미 공시 명칭)","Application
Track",Embassy Track Type,Univ. Track Applicable Programs,Campus Location,학과명,"Department
(대학알리미 공시 명칭)",학과계열,"Field of Study
(Division)",Degree Program,"Period
(years)",Medium of Instruction,Required TOPIK for Admission after Language Program,Program starts,Website URL for detailed information,Telephone for detailed information,available departments (22).xlsx,Korea University,No.,Remarks
,고려대학교,Korea University,Embassy Track,A,,Seoul,경영대학,Korea University Business School,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,1,
,고려대학교,Korea University,Embassy Track,A,,Seoul,국어국문학과,Korean Language and Literature,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,2,
,고려대학교,Korea University,Embassy Track,A,,Seoul,철학과,Philosophy,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,3,
,고려대학교,Korea University,Embassy Track,A,,Seoul,한국사학과,Korean History,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,4,
,고려대학교,Korea University,Embassy Track,A,,Seoul,사학과,History,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,5,
,고려대학교,Korea University,Embassy Track,A,,Seoul,사회학과,Sociology,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,6,
,고려대학교,Korea University,Embassy Track,A,,Seoul,한문학과,Sinographic Literatures,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,7,
,고려대학교,Korea University,Embassy Track,A,,Seoul,영어영문학과,English Language and Literature,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,8,
,고려대학교,Korea University,Embassy Track,A,,Seoul,독어독문학과,German Language and Literature,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,9,
,고려대학교,Korea University,Embassy Track,A,,Seoul,불어불문학과,French Language and Literature,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,10,
,고려대학교,Korea University,Embassy Track,A,,Seoul,중어중문학과,Chinese Language and Literature,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,11,
,고려대학교,Korea University,Embassy Track,A,,Seoul,노어노문학과,Russian Language and Literature,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,12,
,고려대학교,Korea University,Embassy Track,A,,Seoul,일어일문학과,Japanese Language and Literature,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,13,
,고려대학교,Korea University,Embassy Track,A,,Seoul,서어서문학과,Spanish Language and Literature,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,14,
,고려대학교,Korea University,Embassy Track,A,,Seoul,언어학과,Linguistics,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,15,
,고려대학교,Korea University,Embassy Track,A,,Seoul,생명과학부,Life Sciences,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,16,
,고려대학교,Korea University,Embassy Track,A,,Seoul,생명공학부,Biotechnology,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,17,
,고려대학교,Korea University,Embassy Track,A,,Seoul,식품공학과,Food Bioscience and Technology,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,18,
,고려대학교,Korea University,Embassy Track,A,,Seoul,환경생태공학부,Environmental Science and Ecological Engineering,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,19,
,고려대학교,Korea University,Embassy Track,A,,Seoul,식품자원경제학과,Food and Resource Economics,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,20,
,고려대학교,Korea University,Embassy Track,A,,Seoul,정치외교학과,Political Science and International Relations,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,21,
,고려대학교,Korea University,Embassy Track,A,,Seoul,경제학과,Economics,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,22,
,고려대학교,Korea University,Embassy Track,A,,Seoul,통계학과,Statistics,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,23,
,고려대학교,Korea University,Embassy Track,A,,Seoul,행정학과,Public Administration,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,24,
,고려대학교,Korea University,Embassy Track,A,,Seoul,수학과,Mathematics,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,25,
,고려대학교,Korea University,Embassy Track,A,,Seoul,물리학과,Physics,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,26,
,고려대학교,Korea University,Embassy Track,A,,Seoul,화학과,Chemistry,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,27,
,고려대학교,Korea University,Embassy Track,A,,Seoul,지구환경과학과,Earth and Environmental Science,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,28,
,고려대학교,Korea University,Embassy Track,A,,Seoul,화공생명공학과,Chemical & Biological Engineering ,공학,Engineering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,29,
,고려대학교,Korea University,Embassy Track,A,,Seoul,신소재공학부,Materials Science & Engineering,공학,Engineering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,30,
,고려대학교,Korea University,Embassy Track,A,,Seoul,건축사회환경공학부,"Civil, Environmental, & Architectural Engineering",공학,Engineering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,31,
,고려대학교,Korea University,Embassy Track,A,,Seoul,건축학과,Architecture,공학,Engineering,Bachelor's,5,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,32,
,고려대학교,Korea University,Embassy Track,A,,Seoul,기계공학부,Mechanical Engineering,공학,Engineering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,33,
,고려대학교,Korea University,Embassy Track,A,,Seoul,산업경영공학부,Industrial Management Engineering,공학,Engineering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,34,
,고려대학교,Korea University,Embassy Track,A,,Seoul,전기전자공학부,Electrical Engineering,공학,Engineering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,35,
,고려대학교,Korea University,Embassy Track,A,,Seoul,융합에너지공학과,Integrative Energy Engineering,공학,Engineering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,36,
,고려대학교,Korea University,Embassy Track,A,,Seoul,컴퓨터학과,Computer science and Engineering,공학,Engineering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,37,
,고려대학교,Korea University,Embassy Track,A,,Seoul,데이터과학과,Data Science,공학,Engineering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,38,
,고려대학교,Korea University,Embassy Track,A,,Seoul,인공지능학과,Artificial Intelligence,공학,Engineering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,39,
,고려대학교,Korea University,Embassy Track,A,,Seoul,디자인조형학부,School of Art & Design,예체능,Arts & Sports,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,40,
,고려대학교,Korea University,Embassy Track,A,,Seoul,국제학부,College of International Studies,인문·사회,Humanities and Social Science,Bachelor's,4,English 100%,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,41,
,고려대학교,Korea University,Embassy Track,A,,Seoul,글로벌한국융합학부,Global Korean Studies,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,42,
,고려대학교,Korea University,Embassy Track,A,,Seoul,미디어학부,School of Media & Communciation,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,43,
,고려대학교,Korea University,Embassy Track,A,,Seoul,글로벌엔터테인먼트학부,Global Entertainment,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,44,
,고려대학교,Korea University,Embassy Track,A,,Seoul,바이오의공학부,Biomedical Engineering,공학,Engineering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,45,
,고려대학교,Korea University,Embassy Track,A,,Seoul,바이오시스템의과학부,Biosystems & Biomedical Science,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,46,
,고려대학교,Korea University,Embassy Track,A,,Seoul,보건환경융합과학부,Health Environmental Science,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,47,
,고려대학교,Korea University,Embassy Track,A,,Seoul,보건정책관리학부,Health Policy & Management,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,48,
,고려대학교,Korea University,Embassy Track,A,,Seoul,자유전공학부,School of Interdisciplinary Studies,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,49,
,고려대학교,Korea University,Embassy Track,A,,Seoul,스마트보안학부,School of Smart Security,공학,Engineering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,50,
,고려대학교,Korea University,Embassy Track,A,,Seoul,심리학부,School of Psychology ,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://oia.korea.ac.kr/oia2026/Schools-Department.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,51,
,고려대학교,Korea University,Embassy Track,A,,Seoul,학부대학,University College,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://univ.korea.ac.kr/uc/about/univcollege.do,+82-2-3290-5156~7,available departments (22).xlsx,Korea University,52,"University College's one-year curriculum includes General Studies, Intensive Korean, and the ‘Incubating Program.’ 
Students select and enter their department after the first year."
,대학명,"University
(대학알리미 공시 명칭)","Application
Track",Embassy Track Type,Univ. Track Applicable Programs,Campus Location,학과명,"Department
(대학알리미 공시 명칭)",학과계열,"Field of Study
(Division)",Degree Program,"Period
(years)",Medium of Instruction,Required TOPIK for Admission after Language Program,Program starts,Website URL for detailed information,Telephone for detailed information,available departments (22).xlsx,Korea University2,No.,Remarks
,고려대학교,Korea University,Embassy Track,A,,Seoul,글로벌자율학부,Global Open Major,인문·사회,Humanities and Social Science,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,"KOR: https://int.korea.ac.kr/kuis_ko/about/brochure.do
ENG: https://int.korea.edu/kuis/about/brochure.do  ",+82-2-3290-5156~7,available departments (22).xlsx,Korea University2,1,"Before entering Year 2, a specific major will be determined at the end of the freshmen year based on the student’s language ability in Year 1."
No.,대학명,"University
(대학알리미 공시 명칭)","Application
Track",Embassy Track Type,Campus Location,학과명,"Department
(대학알리미 공시 명칭)",학과계열,"Field of Study
(Division)",Degree Program,"Period
(years)",Medium of Instruction,Required TOPIK for Admission after Language Program,Program starts,Website URL for detailed information,Telephone for detailed information,Remarks,available departments (23).xlsx,Kyungdong University,,
1,경동대학교,Kyungdong University,Embassy Track,A,Gyeonggi / Yangju,국제융합학부,School of Global Convergence Studies,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://kduniv.ac.kr,+82-10-8838-5814,,available departments (23).xlsx,Kyungdong University,,
No.,대학명,"University
(대학알리미 공시 명칭)","Application
Track",Embassy Track Type,Campus Location,학과명,"Department
(대학알리미 공시 명칭)",학과계열,"Field of Study
(Division)",Degree Program,"Period
(years)",Medium of Instruction,Required TOPIK for Admission after Language Program,Program starts,Website URL for detailed information,Telephone for detailed information,Remarks,available departments (24).xlsx,KyungHee University,,
1,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,국어국문학과,Department of Korean Language and Literature,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://gukmun.khu.ac.kr/,+82-02-961-0223,,available departments (24).xlsx,KyungHee University,,
2,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,사학과,Department of History,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://history.khu.ac.kr/,82-02-961-0227,,available departments (24).xlsx,KyungHee University,,
3,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,철학과,Department of Philosohpy,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://sophia.khu.ac.kr,82-02-961-0228,,available departments (24).xlsx,KyungHee University,,
4,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,영어영문학과,Department of English Language and Linguistics,인문,Humanities,Bachelor's degree,4,Korean 50%/ English50%,TOPIK 3 or above,March or September,http://khenglish.khu.ac.kr,82-02-961-0224,,available departments (24).xlsx,KyungHee University,,
5,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,응용영어통번역학과,Department of Applied English Interpretation and Translation,인문,Humanities,Bachelor's degree,4,Korean 50%/ English50%,TOPIK 3 or above,March or September,http://aelts.khu.ac.kr,82-02-961-0890,,available departments (24).xlsx,KyungHee University,,
6,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,자율전공학부-글로벌비지니스,Department of Global Eminence-Global Business,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://globaleminence.khu.ac.kr,82-02-961-0944,,available departments (24).xlsx,KyungHee University,,
7,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,정치외교학과,Department of Political Science,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://politics.khu.ac.kr,,,available departments (24).xlsx,KyungHee University,,
8,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,행정학과,Department of Public Administration,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://pa.khu.ac.kr/,,,available departments (24).xlsx,KyungHee University,,
9,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,사회학과,Department of Sociology,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://soc.khu.ac.kr/,,,available departments (24).xlsx,KyungHee University,,
10,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,경제학과,Department of Economics,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://econ.khu.ac.kr/,,,available departments (24).xlsx,KyungHee University,,
11,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,무역학과,Department of International Business and Trade,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,http://trade.khu.ac.kr/,,,available departments (24).xlsx,KyungHee University,,
12,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,미디어학과,Department of Media,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://mediacom.khu.ac.kr,,,available departments (24).xlsx,KyungHee University,,
13,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,경영회계계열,Division of Management and Accounting,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://kbiz.khu.ac.kr/,82-02-961-0626,"1. Department of Business Administration
2. Department of Accounting",available departments (24).xlsx,KyungHee University,,
14,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,경영학과[영어트랙],Department of Business Administration [English Track],사회,Social Sciences,Bachelor's degree,4,English 100%,"TOPIK 3 or above+
English proficiency",March or September,https://kbiz.khu.ac.kr/,82-02-961-0626,"English Track program: An admission unit separate from Korean Track program. English proficiency is required to apply and the majority of 
required classes to graduate will be conducted in English",available departments (24).xlsx,KyungHee University,,
15,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,Hospitality경영학과,Department of Hospitality Management,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://hot.khu.ac.kr/,82-02-961-0843,,available departments (24).xlsx,KyungHee University,,
16,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,글로벌Hospitality관광학과[영어트랙],"Department of Global Hospitality & Tourism 
Management [English Track]",사회,Social Sciences,Bachelor's degree,4,English 100%,TOPIK 3 or above+ English proficiency,March or September,https://hot.khu.ac.kr/,82-02-961-0843,"English Track program: An admission unit separate from Korean Track program. English proficiency is required to apply and the majority of 
required classes to graduate will be conducted in English",available departments (24).xlsx,KyungHee University,,
17,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,조리&푸드디자인학과,Department of Culinary Arts & Food Design Managemen,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://hot.khu.ac.kr/,82-02-961-0830,,available departments (24).xlsx,KyungHee University,,
18,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,관광엔터테인먼트학부,School of Tourism and Entertainment,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://hot.khu.ac.kr/,82-02-961-0823,"1. Department of Tourism Science
2. Department of Culture&Entertainment",available departments (24).xlsx,KyungHee University,,
19,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,아동가족학과,Department of Child and Family Studies ,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://che.khu.ac.kr,82-02-961-0550,,available departments (24).xlsx,KyungHee University,,
20,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,주거환경학과,Department of Housing and Interior Design,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://che.khu.ac.kr,82-02-961-0550,,available departments (24).xlsx,KyungHee University,,
21,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,의상학과,Department of Clothing and Textiles,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://che.khu.ac.kr,82-02-961-0550,,available departments (24).xlsx,KyungHee University,,
22,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,식품영양학과,Department of Food and Nutrition,자연,Natural Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://che.khu.ac.kr,82-02-961-0550,,available departments (24).xlsx,KyungHee University,,
23,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,수학과,Department of Mathematics,자연,Natural Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://maths.khu.ac.kr/,,,available departments (24).xlsx,KyungHee University,,
24,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,물리학과,Department of Physics,자연,Natural Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://phy.khu.ac.kr/,,,available departments (24).xlsx,KyungHee University,,
25,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,화학과,Department of Chemistry,자연,Natural Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://chem.khu.ac.kr/,,,available departments (24).xlsx,KyungHee University,,
26,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,생물학과,Department of Biology,자연,Natural Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://biology.khu.ac.kr/,82-02-961-0244,,available departments (24).xlsx,KyungHee University,,
27,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,지리학과,Department of Geography,사회,Social Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://geo.khu.ac.kr/,,,available departments (24).xlsx,KyungHee University,,
28,경희대학교,Kyung Hee University,Embassy Track,A,Seoul,미래정보디스플레이학부,Department of Future Information Display,자연,Natural Sciences,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://display.khu.ac.kr/,,,available departments (24).xlsx,KyungHee University,,
29,경희대학교,Kyung Hee University,Embassy Track,A,Global,기계공학부,School of Mechanical Engineering,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://eng.khu.ac.kr/me,82-031-201-2504,"1. Mechanical Engineering Major
2. AI Robotics Engineering Major
3. Aerospace Mobility Major",available departments (24).xlsx,KyungHee University,,
